,ClusterName
6325,Pyramidal Cpne5
5200,Pyramidal Cpne5
5282,Pyramidal Cpne5
3849,Pyramidal Cpne5
819,Pyramidal Cpne5
3377,Pyramidal Cpne5
4007,Pyramidal Cpne5
5249,Pyramidal Cpne5
6230,Pyramidal Cpne5
827,Pyramidal Cpne5
4003,Pyramidal Cpne5
5150,Pyramidal Cpne5
6252,Pyramidal Cpne5
2500,Pyramidal Cpne5
6048,Pyramidal Cpne5
3766,Pyramidal Cpne5
6021,Pyramidal Cpne5
4601,Pyramidal Cpne5
5250,Pyramidal Cpne5
3431,Pyramidal Cpne5
3565,Pyramidal Cpne5
3572,Pyramidal Cpne5
5712,Pyramidal Cpne5
4578,Pyramidal Cpne5
7640,Pyramidal Cpne5
3847,Pyramidal Cpne5
1904,Pyramidal Cpne5
2312,Pyramidal Cpne5
2433,Pyramidal Cpne5
2105,Pyramidal Cpne5
2306,Pyramidal Cpne5
5805,Pyramidal Cpne5
5697,Pyramidal Cpne5
4148,Pyramidal Cpne5
7039,Pyramidal Cpne5
3506,Pyramidal Cpne5
6204,Pyramidal Cpne5
6324,Pyramidal Cpne5
5177,Pyramidal Cpne5
4803,Pyramidal Cpne5
5080,Pyramidal Cpne5
3520,Pyramidal Cpne5
2227,Pyramidal Cpne5
5813,Pyramidal Cpne5
4553,Pyramidal Cpne5
6442,Pyramidal Cpne5
6229,Pyramidal Cpne5
6135,Pyramidal Cpne5
2404,Pyramidal Cpne5
5263,Pyramidal Cpne5
6729,Pyramidal Cpne5
3992,Pyramidal Cpne5
6351,Pyramidal Cpne5
5189,Pyramidal Cpne5
5702,Pyramidal Cpne5
2297,Pyramidal Cpne5
4910,Pyramidal Cpne5
5284,Pyramidal Cpne5
7062,Pyramidal L2-3
5746,Pyramidal L2-3
4754,Pyramidal L2-3
5830,Pyramidal L2-3
5781,Pyramidal L2-3
5651,Pyramidal L2-3
4658,Pyramidal L2-3
5705,Pyramidal L2-3
1606,Pyramidal L2-3
1879,Pyramidal L2-3
1878,Pyramidal L2-3
1877,Pyramidal L2-3
4770,Pyramidal L2-3
3512,Pyramidal L2-3
2113,Pyramidal L2-3
1750,Pyramidal L2-3
1666,Pyramidal L2-3
3503,Pyramidal L2-3
4821,Pyramidal L2-3
3700,Pyramidal L2-3
5666,Pyramidal L2-3
