"","cell_ID","cell_types","cell_subtypes"
"426",1.34041958746816e+38,"L6 CT","L6_CT_2"
"427",1.34082938033899e+38,"L5 IT","L5_IT_3"
"428",1.34292517433385e+38,"Astro","Astro_2"
"429",1.34316130488184e+38,"OPC","OPC"
"430",1.3439056375624e+38,"L6 IT","L6_IT_1"
"431",1.34468961131569e+38,"L5 ET","L5_ET_5"
"432",1.34485669871173e+38,"L2/3 IT","L23_IT_2"
"433",1.34737374072265e+37,"L6 CT","L6_CT_3"
"434",1.34743533590294e+38,"L6 CT","L6_CT_3"
"435",1.34746408905904e+38,"L4/5 IT","L45_IT_2"
"436",1.34777657555577e+38,"PVM","PVM"
"437",1.34816306065597e+38,"L4/5 IT","L45_IT_2"
"438",1.34850047247732e+38,"L4/5 IT","L45_IT_SSp_2"
"439",1.34863253874269e+38,"L2/3 IT","L23_IT_2"
"440",1.34868835130119e+38,"Endo","Endo"
"441",1.34869337183316e+38,"L5 IT","L5_IT_4"
"442",1.34916036623664e+38,"L2/3 IT","L23_IT_3"
"443",1.34950942922962e+38,"Peri","Peri"
"444",1.34972418002843e+38,"L5 IT","L5_IT_4"
"445",1.3502456081033e+37,"Oligo","Oligo_3"
"446",1.35063082005471e+38,"L6 IT","L6_IT_1"
"447",1.350810801504e+38,"L6 IT","L6_IT_3"
"448",1.35105583884407e+38,"Astro","Astro_1"
"449",1.35285396039199e+38,"L5 IT","L5_IT_4"
"450",1.35294778313468e+38,"Endo","Endo"
"451",1.35327525974444e+38,"L6 IT","L6_IT_3"
"452",1.35344060329441e+38,"Pvalb","Pvalb_6"
"453",1.35385241141941e+38,"L2/3 IT","L23_IT_3"
"454",1.35404683008937e+38,"L6 CT","L6_CT_4"
"455",1.35437618595239e+38,"L5/6 NP","L56_NP_2"
"456",1.35534517360511e+38,"L5 IT","L5_IT_4"
"457",1.3560543318018e+38,"L6 IT","L6_IT_3"
"458",1.35606041338799e+38,"L6 IT","L6_IT_3"
"459",1.35664169758521e+38,"L2/3 IT","L23_IT_3"
"460",1.35686795196331e+38,"Astro","Astro_1"
"461",1.35700637897625e+38,"L4/5 IT","L45_IT_4"
"462",1.357699915414e+38,"L6 IT","L6_IT_3"
"463",1.3577969699877e+38,"L6 CT","L6_CT_5"
"464",1.3597219851563e+38,"L2/3 IT","L23_IT_2"
"465",1.36115068668374e+38,"Astro","Astro_1"
"466",1.36348205723026e+38,"L2/3 IT","L23_IT_4"
"467",1.36459495856615e+38,"OPC","OPC"
"468",1.36562519194446e+38,"OPC","OPC"
"469",1.36612753820621e+38,"L6 CT","L6_CT_1"
"470",1.36644461567826e+38,"Endo","Endo"
"471",1.37166660431834e+38,"L6 IT","L6_IT_1"
"472",1.37179924641615e+38,"L4/5 IT","L45_IT_2"
"473",1.37189497415091e+38,"Astro","Astro_1"
"474",1.37439229941339e+38,"Astro","Astro_1"
"475",1.37474416044089e+38,"L6 CT","L6_CT_1"
"476",1.37545276764617e+38,"Endo","Endo"
"477",1.37579788453995e+38,"L5 IT","L5_IT_3"
"478",1.37768656779712e+38,"Peri","Peri"
"479",1.37806760015204e+38,"OPC","OPC"
"480",1.37826479494293e+38,"Astro","Astro_1"
"481",1.37833517364825e+38,"Peri","Peri"
"482",1.38270787763853e+38,"L5 IT","L5_IT_1"
"483",1.38288970126578e+36,"L2/3 IT","L23_IT_2"
"484",1.38330341564751e+38,"L6 CT","L6_CT_8"
"485",1.38380705884384e+38,"L4/5 IT","L45_IT_5"
"486",1.38494906698445e+38,"L4/5 IT","L45_IT_4"
"487",1.38515882679848e+38,"L2/3 IT","L23_IT_5"
"488",1.3852393393334e+38,"VLMC","VLMC"
"489",1.38725033484925e+38,"Astro","Astro_2"
"490",1.3890533002579e+38,"L6 CT","L6_CT_1"
"491",1.38957409247723e+37,"Astro","Astro_1"
"492",1.39153308360273e+38,"L2/3 IT","L23_IT_2"
"493",1.3926818179428e+38,"L4/5 IT","L45_IT_SSp_1"
"494",1.39314417726518e+38,"L6 CT","L6_CT_1"
"495",1.39413903121233e+38,"Endo","Endo"
"496",1.39526107510548e+38,"Astro","Astro_1"
"497",1.39533881008753e+38,"L6 CT","L6_CT_3"
"498",1.39643531368149e+38,"Oligo","Oligo_2"
"499",1.3967582235648e+38,"Peri","Peri"
"500",1.39821110318317e+38,"L4/5 IT","L45_IT_4"
"501",1.39971250443154e+38,"L6 CT","L6_CT_2"
"502",1.40080367445997e+37,"L6 CT","L6_CT_3"
"503",1.40096990106458e+38,"L5 IT","L5_IT_1"
"504",1.40172847083554e+38,"L5 IT","L5_IT_3"
"505",1.40204458185212e+38,"Pvalb","Pvalb_4"
"506",1.40211069011159e+38,"L5 IT","L5_IT_3"
"507",1.4021941053076e+38,"L5 ET","L5_ET_5"
"508",1.40232152337748e+38,"L5 IT","L5_IT_1"
"509",1.40322577680254e+38,"L5 IT","L5_IT_4"
"510",1.40330831300003e+38,"Astro","Astro_1"
"511",1.40351439365002e+38,"L6 IT","L6_IT_1"
"512",1.40412976759258e+38,"Endo","Endo"
"513",1.40473423746719e+38,"Astro","Astro_1"
"514",1.40615075110107e+38,"L4/5 IT","L45_IT_5"
"515",1.40828694589409e+38,"VLMC","VLMC"
"516",1.40865167636341e+38,"L2/3 IT","L23_IT_2"
"517",1.40904959054507e+38,"L2/3 IT","L23_IT_4"
"518",1.40923159074311e+38,"Astro","Astro_1"
"519",1.40945483603965e+38,"Micro","Micro_2"
